#white  1*  
#white  2*   
#green  1*  300xp
#green  2*  400xp
#blue   1*  500xp
#blue   2*  600xp
#purple 1*  700xp
#purple 2*  800xp
#orange 1* 1000xp
#orange 2* 1100xp
#orange 3* 
#red

#blue 1*
1  -> 10  50   500
11 -> 20 100  1000 -> 1500
21 -> 30 150  1500 -> 3000

#blue 2*
1  -> 10 100  1000
11 -> 20 200  2000 -> 3000
21 -> 30 300  3000 -> 6000


#purple 1*
1  -> 10  150  1500   
11 -> 20  300  3000 ->  4500
21 -> 30  450  4500 ->  9000
31 -> 40  750  7500 -> 16500

#purple 2*
1  -> 10  300  3000 
11 -> 20  600  6000 ->  9000
21 -> 30  900  9000 -> 18000
31 -> 40 1500 15000 -> 33000



#orange 1*
1  -> 10  1000  10000
11 -> 20  2000  20000 ->  30000
21 -> 30  3000  30000 ->  60000
31 -> 40  5000  50000 -> 110000
41 -> 50  9000  90000 -> 200000

#orange 2*
1  -> 10  1800  18000
11 -> 20  3600  36000 ->  54000
21 -> 30  5400  54000 -> 108000
31 -> 40  9000  90000 -> 198000
41 -> 50 16200 162000 -> 270000

#orange 3*
1  -> 10  3000?? 
11 -> 20  
21 -> 30  
31 -> 40  
41 -> 50 
