#id name color stars type class power attr
#white 1*
101;White Wpn Wis;White;1;Weapon;Wisdom;;x
102;Wooden Longbow;White;1;Weapon;Agility;;x
103;White Wpn Str;White;1;Weapon;Strength;;x
104;White Armor Wis;White;1;Armor;Wisdom;;x
105;White Armor Agl;White;1;Armor;Agility;;x
106;White Armor Str;White;1;Armor;Strength;;x
107;White Shoe Wis;White;1;Shoe;Wisdom;;x
108;White Shoe Agl;White;1;Shoe;Agility;;x
109;White Shoe Str;White;1;Shoe;Strength;;x
110;White Accs Wis;White;1;Accessory;Wisdom;;x
111;White Accs Agl;White;1;Accessory;Agility;;x
112;White Accs Str;White;1;Accessory;Strength;;x

#white 2*
113;White Wpn Wis;White;2;Weapon;Wisdom;;x
114;Wooden Longbow;White;2;Weapon;Agility;12;26 HP, 10 ATK
115;White Wpn Str;White;2;Weapon;Strength;;x
116;White Armor Wis;White;2;Armor;Wisdom;;x
117;White Armor Agl;White;2;Armor;Agility;;x
118;White Armor Str;White;2;Armor;Strength;;x
119;White Shoe Wis;White;2;Shoe;Wisdom;;x
120;White Shoe Agl;White;2;Shoe;Agility;;x
121;White Shoe Str;White;2;Shoe;Strength;;x
122;White Accs Wis;White;2;Accessory;Wisdom;;x
123;White Accs Agl;White;2;Accessory;Agility;;x
124;White Accs Str;White;2;Accessory;Strength;;x



#green 1*
201;Normal Magic Staff;Green;1;Weapon;Wisdom;17;18 ATK
202;Fine Longbow;Green;1;Weapon;Agility;23;50 HP, 18 ATK
203;Bravery Dagger;Green;1;Weapon;Strength;;x
204;Cape;Green;1;Armor;Wisdom;31;180 HP, 10 DEF
205;Cape;Green;1;Armor;Agility;31;180 HP, 10 DEF
206;Linen Top;Green;1;Armor;Strength;34;200 HP, 10 DEF
207;Flax Ankle Boots;Green;1;Shoe;Wisdom;;x
208;Flax Ankle Boots;Green;1;Shoe;Agility;;x
209;Flax Ankle Boots;Green;1;Shoe;Strength;;x
210;Jackdaw Necklace;Green;1;Accessory;Wisdom;29;175 HP, 10 ATK
211;Green Accs Agl 1*;Green;1;Accessory;Agility;;x
212;Elemental Ring;Green;1;Accessory;Strength;38;300 HP, 6 ATK

#green 2* COMPLETE
213;Normal Magic Staff;Green;2;Weapon;Wisdom;29;30 ATK
214;Fine Longbow;Green;2;Weapon;Agility;38;80 HP, 30 ATK
215;Bravery Dagger;Green;2;Weapon;Strength;26;22 ATK, 4 DEF
216;Cape;Green;2;Armor;Wisdom;47;270 HP, 15 DEF
217;Cape;Green;2;Armor;Agility;50;280 HP, 16 DEF
218;Linen Top;Green;2;Armor;Strength;53;320 HP, 15 DEF
219;Flax Ankle Boots;Green;2;Shoe;Wisdom;39;140 HP, 20 ATK, 4 DEF
220;Flax Ankle Boots;Green;2;Shoe;Agility;32;110 HP, 14 ATK, 6 DEF
221;Flax Ankle Boots;Green;2;Shoe;Strength;37;140 HP, 13 ATK, 8 DEF
222;Jackdaw Necklace;Green;2;Accessory;Wisdom;44;270 HP, 15 ATK
223;Wooden Ring;Green;2;Accessory;Agility;44;270 HP, 15 ATK
224;Elemental Ring;Green;2;Accessory;Strength;59;460 HP, 9 ATK



#blue 1* COMPLETE
301;Bravery Magic Staff;Blue;1;Weapon;Wisdom;39;40  ATK
302;Bravery Longbow;Blue;1;Weapon;Agility;50;100 HP, 40 ATK
303;Sharp Shortsword;Blue;1;Weapon;Strength;36;30 ATK, 6 DEF
304;Light Leather Vest;Blue;1;Armor;Wisdom;66;390 HP, 20 DEF
305;Light Leather Vest;Blue;1;Armor;Agility;72;400 HP, 24 DEF
306;Bravery Top;Blue;1;Armor;Strength;74;460 HP, 20 DEF
307;Hard-Leather Boots;Blue;1;Shoe;Wisdom;57;200 HP, 30 ATK, 5 DEF
