#id name color stars type class power attr class_attr

#orange 1* NO FACTION, DONE
5001;Magic Staff of Wisdom;Orange;1;Weapon;Wisdom;351;360 ATK, 2.1% ARMR PIERCE
5002;Whistling Crossbow;Orange;1;Weapon;Agility;462;1100 HP, 350 ATK, 2.1% CRIT
5003;Guardian's Sword;Orange;1;Weapon;Strength;333;280 ATK, 50 DEF, 2.1% CRIT
5004;Cape of Wisdom;Orange;1;Armor;Wisdom;644;4000 HP, 170 DEF
5005;Whistling Top;Orange;1;Armor;Agility;680;4000 HP, 200 DEF
5006;Guardian's Armor;Orange;1;Armor;Strength;722;4600 HP, 180 DEF
5007;Footwraps of Wisdom;Orange;1;Shoe;Wisdom;508;2000 HP, 240 ATK, 45 DEF
5008;Whitsling Boots;Orange;1;Shoe;Agility;435;1600 HP, 180 ATK, 70 DEF
5009;Guardian's Boots;Orange;1;Shoe;Strength;505;2000 HP, 170 ATK, 100 DEF
5010;Necklace of Wisdom;Orange;1;Accessory;Wisdom;635;4000 HP, 200 ATK
5011;Whistling Ring;Orange;1;Accessory;Agility;615;4000 HP, 180 ATK
5012;Ring of the Guardian;Orange;1;Accessory;Strength;833;6600 HP, 110 ATK

#orange 1* UNDEAD
5101;Orange WPON WIZ UNDEAD;Orange;1;Weapon;Wisdom
5102;Orange WPON AGL UNDEAD;Orange;1;Weapon;Agility
5103;Orange WPON STR UNDEAD;Orange;1;Weapon;Strength
5104;Cape of Wraith;Orange;1;Armor;Wisdom
5105;Orange ARMR AGL UNDEAD;Orange;1;Armor;Agility
5106;Dusk Armor;Orange;1;Armor;Strength
5107;Orange SHOE WIZ UNDEAD;Orange;1;Shoe;Wisdom
5108;Boots of Silent Night;Orange;1;Shoe;Agility
5109;Orange SHOE STR UNDEAD;Orange;1;Shoe;Strength
5110;Heart of the Dead;Orange;1;Accessory;Wisdom
5111;Orange ACCS AGL UNDEAD;Orange;1;Accessory;Agility
5112;Dusk Ring;Orange;1;Accessory;Strength

#orange 1* LEGION
5201;Magic Staff of Academy;Orange;1;Weapon;Wisdom
5202;Crossbow of Praetorian Guard;Orange;1;Weapon;Agility
5203;Sword of Justice;Orange;1;Weapon;Strength
5204;Cape of Academy;Orange;1;Armor;Wisdom
5205;Praetorian Guard Top;Orange;1;Armor;Agility
5206;Orange ARMR STR LEGION;Orange;1;Armor;Strength
5207;Footwraps of Academy;Orange;1;Shoe;Wisdom
5208;Boots of Praetorian Guard;Orange;1;Shoe;Agility
5209;Orange SHOE STR LEGION;Orange;1;Shoe;Strength
5210;Necklace of Academy;Orange;1;Accessory;Wisdom
5211;Orange ACCS AGL LEGION;Orange;1;Accessory;Agility
5212;Ring of Justice;Orange;1;Accessory;Strength

#orange 1* FOREST
5301;Element Staff;Orange;1;Weapon;Wisdom
5302;Traveler's Crossbow;Orange;1;Weapon;Agility
5303;Vitality Sword;Orange;1;Weapon;Strength
5304;Orange ARMR WIZ FOREST;Orange;1;Armor;Wisdom
5305;Orange ARMR AGL FOREST;Orange;1;Armor;Agility
5306;Vitality Armor;Orange;1;Armor;Strength
5307;Elemental Footguards;Orange;1;Shoe;Wisdom
5308;Traveler's Boots;Orange;1;Shoe;Agility
5309;Orange SHOE STR FOREST;Orange;1;Shoe;Strength
5310;Element Necklace;Orange;1;Accessory;Wisdom
5311;Traveler's Ring;Orange;1;Accessory;Agility
5312;Orange ACCS STR FOREST;Orange;1;Accessory;Strength

#orange 1* SHADOW
5401;Orange WPON WIZ SHADOW;Orange;1;Weapon;Wisdom
5402;Orange WPON AGL SHADOW;Orange;1;Weapon;Agility
5403;Longsword of Zeal;Orange;1;Weapon;Strength
5404;Cape of Constrain;Orange;1;Armor;Wisdom
